natural minor,A,B,C,D,E,F,G,A
natural minor,A#/Bb,C,C#/Db,D#/Eb,F,F#/Gb,G#/Ab,A#/Bb
natural minor,B,C#/Db,D,E,F#/Gb,G,A,B
natural minor,C,D,D#/Eb,F,G,G#/Ab,A#/Bb,C
natural minor,C#/Db,D#/Eb,E,F#/Gb,G#/Ab,A,B,C#/Db
natural minor,D,E,F,G,A,A#/Bb,C,D
natural minor,D#/Eb,F,F#/Gb,G#/Ab,A#/Bb,B,C#/Db,D#/Eb
natural minor,E,F#/Gb,G,A,B,C,D,E
natural minor,F,G,G#/Ab,A#/Bb,C,C#/Db,D#/Eb,F
natural minor,F#/Gb,G#/Ab,A,B,C#/Db,D,E,F#/Gb
natural minor,G,A,A#/Bb,C,D,D#/Eb,F,G
natural minor,G#/Ab,A#/Bb,B,C#/Db,D#/Eb,E,F#/Gb,G#/Ab
harmonic minor,A,B,C,D,E,F,G#/Ab,A
harmonic minor,A#/Bb,C,C#/Db,D#/Eb,F,F#/Gb,A,A#/Bb
harmonic minor,B,C#/Db,D,E,F#/Gb,G,A#/Bb,B
harmonic minor,C,D,D#/Eb,F,G,G#/Ab,B,C
harmonic minor,C#/Db,D#/Eb,E,F#/Gb,G#/Ab,A,C,C#/Db
harmonic minor,D,E,F,G,A,A#/Bb,C#/Db,D
harmonic minor,D#/Eb,F,F#/Gb,G#/Ab,A#/Bb,B,D,D#/Eb
harmonic minor,E,F#/Gb,G,A,B,C,D#/Eb,E
harmonic minor,F,G,G#/Ab,A#/Bb,C,C#/Db,E,F
harmonic minor,F#/Gb,G#/Ab,A,B,C#/Db,D,F,F#/Gb
harmonic minor,G,A,A#/Bb,C,D,D#/Eb,F#/Gb,G
harmonic minor,G#/Ab,A#/Bb,B,C#/Db,D#/Eb,E,G,G#/Ab
major pentatonic,A,B,C#/Db,E,F#/Gb,A
major pentatonic,A#/Bb,C,D,F,G,A#/Bb
major pentatonic,B,C#/Db,D#/Eb,F#/Gb,G#/Ab,B
major pentatonic,C,D,E,G,A,C
major pentatonic,C#/Db,D#/Eb,F,G#/Ab,A#/Bb,C#/Db
major pentatonic,D,E,F#/Gb,A,B,D
major pentatonic,D#/Eb,F,G,A#/Bb,C,D#/Eb
major pentatonic,E,F#/Gb,G#/Ab,B,C#/Db,E
major pentatonic,F,G,A,C,D,F
major pentatonic,F#/Gb,G#/Ab,A#/Bb,C#/Db,D#/Eb,F#/Gb
major pentatonic,G,A,B,D,E,G
major pentatonic,G#/Ab,A#/Bb,C,D#/Eb,F,G#/Ab
major,A,B,C#/Db,D,E,F#/Gb,G#/Ab,A
major,A#/Bb,C,D,D#/Eb,F,G,A,A#/Bb
major,B,C#/Db,D#/Eb,E,F#/Gb,G#/Ab,A#/Bb,B
major,C,D,E,F,G,A,B,C
major,C#/Db,D#/Eb,F,F#/Gb,G#/Ab,A#/Bb,C,C#/Db
major,D,E,F#/Gb,G,A,B,C#/Db,D
major,D#/Eb,F,G,G#/Ab,A#/Bb,C,D,D#/Eb
major,E,F#/Gb,G#/Ab,A,B,C#/Db,D#/Eb,E
major,F,G,A,A#/Bb,C,D,E,F
major,F#/Gb,G#/Ab,A#/Bb,B,C#/Db,D#/Eb,F,F#/Gb
major,G,A,B,C,D,E,F#/Gb,G
major,G#/Ab,A#/Bb,C,C#/Db,D#/Eb,F,G,G#/Ab
mixolydian,A,B,C#/Db,D,E,F#/Gb,G,A
mixolydian,A#/Bb,C,D,D#/Eb,F,G,G#/Ab,A#/Bb
mixolydian,B,C#/Db,D#/Eb,E,F#/Gb,G#/Ab,A,B
mixolydian,C,D,E,F,G,A,A#/Bb,C
mixolydian,C#/Db,D#/Eb,F,F#/Gb,G#/Ab,A#/Bb,B,C#/Db
mixolydian,D,E,F#/Gb,G,A,B,C,D
mixolydian,D#/Eb,F,G,G#/Ab,A#/Bb,C,C#/Db,D#/Eb
mixolydian,E,F#/Gb,G#/Ab,A,B,C#/Db,D,E
mixolydian,F,G,A,A#/Bb,C,D,D#/Eb,F
mixolydian,F#/Gb,G#/Ab,A#/Bb,B,C#/Db,D#/Eb,E,F#/Gb
mixolydian,G,A,B,C,D,E,F,G
mixolydian,G#/Ab,A#/Bb,C,C#/Db,D#/Eb,F,F#/Gb,G#/Ab
melodic minor,A,B,C,D,E,F#/Gb,G#/Ab,A
melodic minor,A#/Bb,C,C#/Db,D#/Eb,F,G,A,A#/Bb
melodic minor,B,C#/Db,D,E,F#/Gb,G#/Ab,A#/Bb,B
melodic minor,C,D,D#/Eb,F,G,A,B,C
melodic minor,C#/Db,D#/Eb,E,F#/Gb,G#/Ab,A#/Bb,C,C#/Db
melodic minor,D,E,F,G,A,B,C#/Db,D
melodic minor,D#/Eb,F,F#/Gb,G#/Ab,A#/Bb,C,D,D#/Eb
melodic minor,E,F#/Gb,G,A,B,C#/Db,D#/Eb,E
melodic minor,F,G,G#/Ab,A#/Bb,C,D,E,F
melodic minor,F#/Gb,G#/Ab,A,B,C#/Db,D#/Eb,F,F#/Gb
melodic minor,G,A,A#/Bb,C,D,E,F#/Gb,G
melodic minor,G#/Ab,A#/Bb,B,C#/Db,D#/Eb,F,G,G#/Ab
phrygian,A,A#/Bb,C,D,E,F,G,A
phrygian,A#/Bb,B,C#/Db,D#/Eb,F,F#/Gb,G#/Ab,A#/Bb
phrygian,B,C,D,E,F#/Gb,G,A,B
phrygian,C,C#/Db,D#/Eb,F,G,G#/Ab,A#/Bb,C
phrygian,C#/Db,D,E,F#/Gb,G#/Ab,A,B,C#/Db
phrygian,D,D#/Eb,F,G,A,A#/Bb,C,D
phrygian,D#/Eb,E,F#/Gb,G#/Ab,A#/Bb,B,C#/Db,D#/Eb
phrygian,E,F,G,A,B,C,D,E
phrygian,F,F#/Gb,G#/Ab,A#/Bb,C,C#/Db,D#/Eb,F
phrygian,F#/Gb,G,A,B,C#/Db,D,E,F#/Gb
phrygian,G,G#/Ab,A#/Bb,C,D,D#/Eb,F,G
phrygian,G#/Ab,A,B,C#/Db,D#/Eb,E,F#/Gb,G#/Ab
dorian,A,B,C,D,E,F#/Gb,G,A
dorian,A#/Bb,C,C#/Db,D#/Eb,F,G,G#/Ab,A#/Bb
dorian,B,C#/Db,D,E,F#/Gb,G#/Ab,A,B
dorian,C,D,D#/Eb,F,G,A,A#/Bb,C
